refid,split,change_ratio,change_level,country,change_type,v1_test
a25-49227879769426_54-70483626873595,train,4.6146,low,LTU,Residential,
a-8-16716865379318_41-29046838293574,train,1.1095,low,PRT,Agriculture,
a25-64243038512029_42-4514081513337,train,3.4289,low,BGR,Residential,
a17-06540959971633_52-3741174425591,train,3.6405,low,POL,"Recreation, Leisure, and Sports",
a19-55345246514126_47-56048768054758,train,1.5644,low,HUN,"Transport, Communication Networks, and Logistics",
a6-28772768410982_59-63685955269065,train,1.2299,low,NOR,Uncertain,
a3-28755789400137_50-64539824344691,train,2.9086,low,BEL,Community Services,
a24-30983682802799_55-72413222709245,train,2.6919,low,LTU,Residential,
a3-7267438263542_51-68070038951491,train,2.968,low,NLD,"Transport, Communication Networks, and Logistics",
a14-553548989316_46-12425285102383,train,2.7574,low,SVN,Industry and Manufacturing,
a7-79445066862058_51-39339047840458,train,4.8939,low,DEU,Mining and Quarrying,
a-7-20196668794104_53-29507776919935,train,2.0119,low,IRL,Residential,
a25-66116747847566_42-39992128286131,train,1.6984,low,BGR,Uncertain,
a26-08539790003425_43-85740625500752,train,1.6183,low,BGR,"Transport, Communication Networks, and Logistics",
a11-89866704465856_54-76274837128253,train,4.1798,low,DNK,"Transport, Communication Networks, and Logistics",
a18-72533691028657_49-1842950075387,train,2.3111,low,SVK,Residential,
a-8-5046084613411_41-03650589895832,train,1.7034,low,PRT,Uncertain,
a-7-26481735277496_40-73012230359111,train,1.1252,low,PRT,Uncertain,
a5-69683832007147_51-27337426771136,train,3.8683,low,NLD,Agriculture,
a24-36603769871882_45-12779807771178,train,1.9892,low,ROU,Community Services,
a5-43152911602821_52-01877434131934,train,4.6023,low,NLD,Residential,
a5-05204659373531_51-44811397038556,train,0.5158,low,BEL,Water and Waste Treatment,
a8-80249467517939_47-54398344853953,train,2.0632,low,CHE,Agriculture,
a18-33617537767885_45-29904769846439,train,2.2706,low,HRV,Agriculture,
a12-27608837368204_43-06014534700439,train,2.9196,low,ITA,"Transport, Communication Networks, and Logistics",
a18-64966272074464_47-52696250771223,train,2.9772,low,HUN,Residential,
a21-70440295997057_40-51936916309418,train,2.0444,low,GRC,Uncertain,
a25-25532012638358_42-66133454697253,train,1.4421,low,BGR,Uncertain,
a27-24891473648757_44-09709309761551,train,0.25,low,BGR,Residential,
a22-84859000985749_42-45841904261786,train,0.6152,low,BGR,Uncertain,
a14-44884901051691_46-68484489478062,train,3.1145,low,AUT,Uncertain,
a-0-54402407469629_44-04188024421709,train,0.2844,low,FRA,Residential,
a6-12201417012424_52-3001891774471,train,1.4085,low,NLD,Agriculture,
a26-71383420304365_55-960384104292,train,0.9145,low,LVA,Uncertain,
a25-13281824684095_41-58248445196064,train,2.9591,low,BGR,"Transport, Communication Networks, and Logistics",
a29-79895633519798_62-64118953467137,train,3.2318,low,FIN,Uncertain,
a-3-99571454125387_43-28658119907893,train,1.2312,low,ESP,"Transport, Communication Networks, and Logistics",
a20-1202303690376_63-98799748330785,train,4.8658,low,SWE,"Transport, Communication Networks, and Logistics",
a17-8214865428287_46-93838082431493,train,8.8009,moderate,HUN,Uncertain,
a15-23542713472301_44-13804504255038,train,19.2422,moderate,HRV,Residential,
a25-75525729261775_45-64371757805646,train,7.4828,moderate,ROU,Agriculture,
a40-04120521705572_36-87261815095685,train,10.9246,moderate,TUR,Residential,
a-0-7288032620039_48-63928444006693,train,8.0533,moderate,FRA,Uncertain,
a16-08699897668672_53-45325239406315,train,11.7658,moderate,POL,Uncertain,
a17-81046022198732_48-02360903747409,train,17.8457,moderate,SVK,Industry and Manufacturing,
a35-3630047622628_39-51025219841001,train,7.725,moderate,TUR,Residential,
a-8-63342379361771_37-13422198457337,train,9.3608,moderate,PRT,Residential,
a19-61642924087022_46-84244866131107,train,11.7867,moderate,HUN,Uncertain,
a8-55857187094528_58-33752483124721,train,15.2489,moderate,NOR,Uncertain,
a17-49808239995093_47-97076685662877,train,9.1762,moderate,SVK,Industry and Manufacturing,
a9-56609244236247_60-22240579711326,train,11.5393,moderate,NOR,Uncertain,
a30-40232650607832_39-78354795392336,train,8.8253,moderate,TUR,Residential,
a1-53175373264337_41-26391969128805,train,19.5534,moderate,ESP,"Transport, Communication Networks, and Logistics",
a-16-62656099035438_28-05046132692965,train,8.2934,moderate,ESP,Uncertain,
a14-3231802597412_46-26614816972087,train,11.1089,moderate,SVN,Commerce and Services,
a16-21017833942676_47-79103608025213,train,10.7306,moderate,AUT,"Transport, Communication Networks, and Logistics",
a21-96260128697104_46-99675577206067,train,20.1214,moderate,ROU,Residential,
a32-11093275104467_39-57989764020625,train,20.705,moderate,TUR,Residential,
a12-88877354203338_55-87390927566725,train,18.2315,moderate,SWE,"Transport, Communication Networks, and Logistics",
a36-14615320951568_37-07401418439726,train,11.9361,moderate,TUR,Residential,
a5-8552647044621_61-45583119812181,train,15.9492,moderate,NOR,"Transport, Communication Networks, and Logistics",
a16-24820990125578_48-38435969781316,train,6.0424,moderate,AUT,"Transport, Communication Networks, and Logistics",
a17-21815870461582_48-14834620277097,train,10.4335,moderate,SVK,Residential,
a-8-7250406009344_41-45175558225651,train,20.5188,moderate,PRT,"Transport, Communication Networks, and Logistics",
a32-69085783675902_40-17923143394696,train,7.809,moderate,TUR,"Transport, Communication Networks, and Logistics",
a38-69036332739235_37-15698867212367,train,24.6642,moderate,TUR,Energy Production,
a16-28161007995402_46-08909276844217,train,8.1431,moderate,HRV,Industry and Manufacturing,
a5-69863128004571_58-81605000975082,train,16.0682,moderate,NOR,Uncertain,
a-8-40240604520935_40-93829700851144,train,7.7668,moderate,PRT,"Transport, Communication Networks, and Logistics",
a4-00159245754781_51-08188112021718,train,9.3171,moderate,BEL,Commerce and Services,
a-6-00483649634729_43-54055750803159,train,12.6745,moderate,ESP,Uncertain,
a18-76832162373298_45-27932921589273,train,6.5778,moderate,HRV,Uncertain,
a21-43043997866652_38-08072104277537,train,8.96,moderate,GRC,Agriculture,
a13-55277949290061_55-48928074056182,train,7.1216,moderate,SWE,"Transport, Communication Networks, and Logistics",
a20-62963149779467_52-12120314569297,train,19.68,moderate,POL,"Transport, Communication Networks, and Logistics",
a17-29648513171956_48-31832462732824,train,6.474,moderate,SVK,Residential,
a-6-53797725923809_53-84911799426187,train,10.5777,moderate,IRL,Uncertain,
a7-53578688874846_51-04360681454464,train,16.6562,moderate,DEU,Uncertain,
a16-15317118163363_45-7859705066069,train,8.3542,moderate,HRV,Commerce and Services,
a14-47257389738192_45-99886910411342,train,7.0026,moderate,SVN,"Transport, Communication Networks, and Logistics",
a5-66409220777105_51-66192565878978,train,13.2315,moderate,NLD,Commerce and Services,
a15-96543028496907_58-9953742874805,train,19.8912,moderate,SWE,Agriculture,
a24-84522499951122_42-03992940928746,train,20.2038,moderate,BGR,Uncertain,
a11-32287274494765_63-74479353457964,train,5.23,moderate,NOR,Community Services,
a15-67279100079838_48-48032088109964,train,9.8988,moderate,AUT,Residential,
a-1-71820674589767_52-42514570080691,train,13.8978,moderate,GBR,"Transport, Communication Networks, and Logistics",
a13-60838063952165_46-58264616437447,train,6.0625,moderate,AUT,Residential,
a17-71064367428112_45-3367690095194,train,9.5703,moderate,HRV,Uncertain,
a-7-6747727041517_53-60364246241342,train,5.0145,moderate,IRL,Agriculture,
a5-09083297195579_52-64196941413523,train,7.0423,moderate,NLD,Industry and Manufacturing,
a-6-27279030754873_53-4325815984102,train,14.9242,moderate,IRL,"Transport, Communication Networks, and Logistics",
a9-4843003131549_47-16101307536516,train,16.0392,moderate,CHE,Agriculture,
a17-63253602092586_47-9720597521916,train,7.4123,moderate,SVK,Residential,
a9-11666147456092_56-00363228260099,train,5.9033,moderate,DNK,Commerce and Services,
a26-040070508867_45-95719246129747,train,9.053,moderate,ROU,Uncertain,
a9-85232667418204_52-25168450091463,train,5.9701,moderate,DEU,Uncertain,
a25-70702178828917_59-03533220503562,train,7.1417,moderate,EST,Residential,
a19-15395094252762_47-58000484344567,train,21.1911,moderate,HUN,Industry and Manufacturing,
a22-9581421195935_62-83875067673326,train,26.7467,moderate,FIN,Industry and Manufacturing,
a5-17007097143491_51-69528151655165,train,10.7717,moderate,NLD,Uncertain,
a21-21267111059229_45-79370720284675,train,21.3509,moderate,ROU,Commerce and Services,
a31-45439643611007_36-80182935841327,train,13.5654,moderate,TUR,Agriculture,
a28-60595735252272_44-12819834833299,train,12.4981,moderate,ROU,Uncertain,
a9-65832672038043_55-53465785613748,train,35.9546,high,DNK,"Transport, Communication Networks, and Logistics",
a9-42409872737389_45-27118044929093,train,33.3482,high,ITA,"Transport, Communication Networks, and Logistics",
a-0-47134313698222_52-09242527089813,train,36.4089,high,GBR,Industry and Manufacturing,
a6-77326182389596_52-30105858291123,train,34.8246,high,NLD,Residential,
a36-53163574265847_40-35433561270496,train,34.4135,high,TUR,Residential,
a-2-52025858362194_53-72050616794933,train,47.2255,high,GBR,Residential,
a-0-97187067835583_52-12078788011635,train,38.1579,high,GBR,Residential,
a9-84650096942698_56-8914796553378,train,42.9494,high,DNK,"Transport, Communication Networks, and Logistics",
a-6-97462937889053_53-63384493473035,val,0.9907,low,IRL,"Transport, Communication Networks, and Logistics",
a6-53272656603823_46-52411297528171,val,4.1798,low,CHE,Residential,
a28-29010187977192_43-4567424498741,val,4.6726,low,BGR,Agriculture,
a26-62295507119818_44-05415527794138,val,3.7334,low,BGR,"Transport, Communication Networks, and Logistics",
a21-32632109696438_52-16524009813717,val,4.9587,low,POL,Uncertain,
a4-80334905149021_52-66402425709741,val,0.8927,low,NLD,Residential,
a12-46613619061323_57-24443634830578,val,0.4201,low,SWE,Uncertain,
a20-51053210024757_49-95643045434531,val,2.5422,low,POL,Residential,
a9-74529093239942_48-51559318456809,val,5.391,moderate,DEU,"Transport, Communication Networks, and Logistics",
a8-59953812675902_58-41512846247853,val,5.293,moderate,NOR,"Transport, Communication Networks, and Logistics",
a18-66751019422631_45-51579981231616,val,14.149,moderate,HRV,Energy Production,
